id,rating,title,content,author,date,helpful_votes,verified_purchase
101,4,노이즈 캔슬링이 완벽합니다,"지하철 소음도 다 잡아주고, 통화 품질도 정말 깨끗해요. 착용감도 편안해서 하루종일 끼고 있어도 아프지 않습니다.",김민지,2024-03-01,23,true
102,4,배터리가 조금 아쉽네요,"음질과 주변음 허용 모드는 최고인데, 배터리가 생각보다 빨리 닳는 느낌입니다.",이도현,2024-03-01,8,true
103,4,생태계 연동이 최고입니다,"맥북, 아이패드, 아이폰 사이를 전환할 때 정말 매끄럽습니다. 애플 기기 사용자라면 무조건 추천합니다.",박서윤,2024-03-01,14,true
104,3,공간 음향 신기해요,"영화 볼 때 공간 음향 기능 켜면 영화관 부럽지 않습니다. 몰입감이 장난 아니네요.",최현우,2024-03-01,39,true
105,3,가격이 너무 비싸요,"성능은 좋지만 역시 가격이 부담스럽긴 합니다. 잃어버릴까봐 조심조심 사용하고 있어요.",정다은,2024-03-02,14,true
106,5,터치 제어가 편해졌어요,"기둥을 쓸어내려서 볼륨 조절하는 기능이 너무 편리합니다. 이전 세대보다 확실히 업그레이드 되었네요.",한지우,2024-03-02,22,true
107,4,야외 통화 품질 개선,"바람 부는 날 밖에서 통화해도 상대방이 제 목소리를 잘 알아듣네요. 감격스럽습니다.",강태윤,2024-03-02,21,true
108,4,외이도염 조심하세요,"제 귀 모양이랑 안 맞는지 오래 끼면 외이도염이 생기네요. 이어팁을 바꿔봐도 비슷합니다.",임서현,2024-03-02,22,true
109,3,주변음 허용 모드는 압도적,"헤드폰을 안 낀 것처럼 자연스럽게 주변 소리가 들립니다. 대화할 때 안 빼도 돼서 좋아요.",윤민호,2024-03-03,13,true
110,3,분실 방지 알림 유용해요,"케이스에 스피커가 달려있어서 찾기 쉽고, 두고 가면 알람이 울려서 안심이 됩니다.",오지후,2024-03-03,35,true
111,4,노이즈 캔슬링이 완벽합니다,"지하철 소음도 다 잡아주고, 통화 품질도 정말 깨끗해요. 착용감도 편안해서 하루종일 끼고 있어도 아프지 않습니다.",김민지,2024-03-03,31,true
112,3,배터리가 조금 아쉽네요,"음질과 주변음 허용 모드는 최고인데, 배터리가 생각보다 빨리 닳는 느낌입니다. (11번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",이도현,2024-03-03,32,true
113,4,생태계 연동이 최고입니다,"맥북, 아이패드, 아이폰 사이를 전환할 때 정말 매끄럽습니다. 애플 기기 사용자라면 무조건 추천합니다. (12번째 추가 테스트 리뷰입니다. 정말 추천해요!)",박서윤,2024-03-04,42,true
114,3,공간 음향 신기해요,"영화 볼 때 공간 음향 기능 켜면 영화관 부럽지 않습니다. 몰입감이 장난 아니네요. (13번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",최현우,2024-03-04,47,true
115,5,가격이 너무 비싸요,"성능은 좋지만 역시 가격이 부담스럽긴 합니다. 잃어버릴까봐 조심조심 사용하고 있어요. (14번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",정다은,2024-03-04,40,true
116,4,터치 제어가 편해졌어요,"기둥을 쓸어내려서 볼륨 조절하는 기능이 너무 편리합니다. 이전 세대보다 확실히 업그레이드 되었네요. (15번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",한지우,2024-03-04,47,true
117,5,야외 통화 품질 개선,"바람 부는 날 밖에서 통화해도 상대방이 제 목소리를 잘 알아듣네요. 감격스럽습니다. (16번째 추가 테스트 리뷰입니다. 정말 추천해요!)",강태윤,2024-03-05,38,true
118,5,외이도염 조심하세요,"제 귀 모양이랑 안 맞는지 오래 끼면 외이도염이 생기네요. 이어팁을 바꿔봐도 비슷합니다. (17번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",임서현,2024-03-05,39,true
119,4,주변음 허용 모드는 압도적,"헤드폰을 안 낀 것처럼 자연스럽게 주변 소리가 들립니다. 대화할 때 안 빼도 돼서 좋아요. (18번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",윤민호,2024-03-05,10,true
120,4,분실 방지 알림 유용해요,"케이스에 스피커가 달려있어서 찾기 쉽고, 두고 가면 알람이 울려서 안심이 됩니다. (19번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",오지후,2024-03-05,31,true
121,3,노이즈 캔슬링이 완벽합니다,"지하철 소음도 다 잡아주고, 통화 품질도 정말 깨끗해요. 착용감도 편안해서 하루종일 끼고 있어도 아프지 않습니다. (20번째 추가 테스트 리뷰입니다. 정말 추천해요!)",김민지,2024-03-06,39,true
122,3,배터리가 조금 아쉽네요,"음질과 주변음 허용 모드는 최고인데, 배터리가 생각보다 빨리 닳는 느낌입니다. (21번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",이도현,2024-03-06,33,true
123,3,생태계 연동이 최고입니다,"맥북, 아이패드, 아이폰 사이를 전환할 때 정말 매끄럽습니다. 애플 기기 사용자라면 무조건 추천합니다. (22번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",박서윤,2024-03-06,32,true
124,5,공간 음향 신기해요,"영화 볼 때 공간 음향 기능 켜면 영화관 부럽지 않습니다. 몰입감이 장난 아니네요. (23번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",최현우,2024-03-06,4,true
125,4,가격이 너무 비싸요,"성능은 좋지만 역시 가격이 부담스럽긴 합니다. 잃어버릴까봐 조심조심 사용하고 있어요. (24번째 추가 테스트 리뷰입니다. 정말 추천해요!)",정다은,2024-03-07,23,true
126,5,터치 제어가 편해졌어요,"기둥을 쓸어내려서 볼륨 조절하는 기능이 너무 편리합니다. 이전 세대보다 확실히 업그레이드 되었네요. (25번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",한지우,2024-03-07,45,true
127,5,야외 통화 품질 개선,"바람 부는 날 밖에서 통화해도 상대방이 제 목소리를 잘 알아듣네요. 감격스럽습니다. (26번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",강태윤,2024-03-07,31,true
128,3,외이도염 조심하세요,"제 귀 모양이랑 안 맞는지 오래 끼면 외이도염이 생기네요. 이어팁을 바꿔봐도 비슷합니다. (27번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",임서현,2024-03-07,25,true
129,3,주변음 허용 모드는 압도적,"헤드폰을 안 낀 것처럼 자연스럽게 주변 소리가 들립니다. 대화할 때 안 빼도 돼서 좋아요. (28번째 추가 테스트 리뷰입니다. 정말 추천해요!)",윤민호,2024-03-08,19,true
130,4,분실 방지 알림 유용해요,"케이스에 스피커가 달려있어서 찾기 쉽고, 두고 가면 알람이 울려서 안심이 됩니다. (29번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",오지후,2024-03-08,32,true
131,3,노이즈 캔슬링이 완벽합니다,"지하철 소음도 다 잡아주고, 통화 품질도 정말 깨끗해요. 착용감도 편안해서 하루종일 끼고 있어도 아프지 않습니다. (30번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",김민지,2024-03-08,32,true
132,4,배터리가 조금 아쉽네요,"음질과 주변음 허용 모드는 최고인데, 배터리가 생각보다 빨리 닳는 느낌입니다. (31번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",이도현,2024-03-08,24,true
133,5,생태계 연동이 최고입니다,"맥북, 아이패드, 아이폰 사이를 전환할 때 정말 매끄럽습니다. 애플 기기 사용자라면 무조건 추천합니다. (32번째 추가 테스트 리뷰입니다. 정말 추천해요!)",박서윤,2024-03-09,1,true
134,5,공간 음향 신기해요,"영화 볼 때 공간 음향 기능 켜면 영화관 부럽지 않습니다. 몰입감이 장난 아니네요. (33번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",최현우,2024-03-09,7,true
135,4,가격이 너무 비싸요,"성능은 좋지만 역시 가격이 부담스럽긴 합니다. 잃어버릴까봐 조심조심 사용하고 있어요. (34번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",정다은,2024-03-09,3,true
136,5,터치 제어가 편해졌어요,"기둥을 쓸어내려서 볼륨 조절하는 기능이 너무 편리합니다. 이전 세대보다 확실히 업그레이드 되었네요. (35번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",한지우,2024-03-09,25,true
137,3,야외 통화 품질 개선,"바람 부는 날 밖에서 통화해도 상대방이 제 목소리를 잘 알아듣네요. 감격스럽습니다. (36번째 추가 테스트 리뷰입니다. 정말 추천해요!)",강태윤,2024-03-10,22,true
138,5,외이도염 조심하세요,"제 귀 모양이랑 안 맞는지 오래 끼면 외이도염이 생기네요. 이어팁을 바꿔봐도 비슷합니다. (37번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",임서현,2024-03-10,26,true
139,4,주변음 허용 모드는 압도적,"헤드폰을 안 낀 것처럼 자연스럽게 주변 소리가 들립니다. 대화할 때 안 빼도 돼서 좋아요. (38번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",윤민호,2024-03-10,0,true
140,3,분실 방지 알림 유용해요,"케이스에 스피커가 달려있어서 찾기 쉽고, 두고 가면 알람이 울려서 안심이 됩니다. (39번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",오지후,2024-03-10,7,true
141,4,노이즈 캔슬링이 완벽합니다,"지하철 소음도 다 잡아주고, 통화 품질도 정말 깨끗해요. 착용감도 편안해서 하루종일 끼고 있어도 아프지 않습니다. (40번째 추가 테스트 리뷰입니다. 정말 추천해요!)",김민지,2024-03-11,43,true
142,5,배터리가 조금 아쉽네요,"음질과 주변음 허용 모드는 최고인데, 배터리가 생각보다 빨리 닳는 느낌입니다. (41번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",이도현,2024-03-11,29,true
143,5,생태계 연동이 최고입니다,"맥북, 아이패드, 아이폰 사이를 전환할 때 정말 매끄럽습니다. 애플 기기 사용자라면 무조건 추천합니다. (42번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",박서윤,2024-03-11,22,true
144,5,공간 음향 신기해요,"영화 볼 때 공간 음향 기능 켜면 영화관 부럽지 않습니다. 몰입감이 장난 아니네요. (43번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",최현우,2024-03-11,29,true
145,4,가격이 너무 비싸요,"성능은 좋지만 역시 가격이 부담스럽긴 합니다. 잃어버릴까봐 조심조심 사용하고 있어요. (44번째 추가 테스트 리뷰입니다. 정말 추천해요!)",정다은,2024-03-12,37,true
146,3,터치 제어가 편해졌어요,"기둥을 쓸어내려서 볼륨 조절하는 기능이 너무 편리합니다. 이전 세대보다 확실히 업그레이드 되었네요. (45번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",한지우,2024-03-12,34,true
147,4,야외 통화 품질 개선,"바람 부는 날 밖에서 통화해도 상대방이 제 목소리를 잘 알아듣네요. 감격스럽습니다. (46번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",강태윤,2024-03-12,26,true
148,3,외이도염 조심하세요,"제 귀 모양이랑 안 맞는지 오래 끼면 외이도염이 생기네요. 이어팁을 바꿔봐도 비슷합니다. (47번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",임서현,2024-03-12,22,true
149,3,주변음 허용 모드는 압도적,"헤드폰을 안 낀 것처럼 자연스럽게 주변 소리가 들립니다. 대화할 때 안 빼도 돼서 좋아요. (48번째 추가 테스트 리뷰입니다. 정말 추천해요!)",윤민호,2024-03-13,7,true
150,5,분실 방지 알림 유용해요,"케이스에 스피커가 달려있어서 찾기 쉽고, 두고 가면 알람이 울려서 안심이 됩니다. (49번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",오지후,2024-03-13,43,true
151,5,노이즈 캔슬링이 완벽합니다,"지하철 소음도 다 잡아주고, 통화 품질도 정말 깨끗해요. 착용감도 편안해서 하루종일 끼고 있어도 아프지 않습니다. (50번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",김민지,2024-03-13,14,true
152,5,배터리가 조금 아쉽네요,"음질과 주변음 허용 모드는 최고인데, 배터리가 생각보다 빨리 닳는 느낌입니다. (51번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",이도현,2024-03-13,14,true
153,5,생태계 연동이 최고입니다,"맥북, 아이패드, 아이폰 사이를 전환할 때 정말 매끄럽습니다. 애플 기기 사용자라면 무조건 추천합니다. (52번째 추가 테스트 리뷰입니다. 정말 추천해요!)",박서윤,2024-03-14,22,true
154,4,공간 음향 신기해요,"영화 볼 때 공간 음향 기능 켜면 영화관 부럽지 않습니다. 몰입감이 장난 아니네요. (53번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",최현우,2024-03-14,16,true
155,5,가격이 너무 비싸요,"성능은 좋지만 역시 가격이 부담스럽긴 합니다. 잃어버릴까봐 조심조심 사용하고 있어요. (54번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",정다은,2024-03-14,34,true
156,4,터치 제어가 편해졌어요,"기둥을 쓸어내려서 볼륨 조절하는 기능이 너무 편리합니다. 이전 세대보다 확실히 업그레이드 되었네요. (55번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",한지우,2024-03-14,31,true
