id,rating,title,content,author,date,helpful_votes,verified_purchase
201,5,보스의 노캔은 진리입니다,"오랜만에 보스로 돌아왔는데, 편안하고 자연스러운 노이즈 캔슬링이 정말 마음에 듭니다.",김민지,2024-03-01,1,true
202,4,착용감은 이 모델이 최고,"안경을 쓰고 장시간 착용해도 귀나 머리가 전혀 아프지 않은 유일한 헤드폰입니다. 정말 푹신해요.",이도현,2024-03-01,33,true
203,4,디자인이 조금 올드해요,"클래식하긴 하지만 10년 전 디자인이랑 크게 다르지 않아서 아쉽습니다. 음질은 무난합니다.",박서윤,2024-03-01,23,true
204,4,아날로그 버튼이 최고입니다,"터치 조작 헷갈리고 오작동 나서 싫었는데, 물리 버튼으로 바로바로 조작하니까 직관적이고 편해요.",최현우,2024-03-01,17,true
205,3,베이스가 약간 부족한 느낌,"음질이 선명하긴 한데 힙합 들을 때는 저음이 조금 아쉽게 느껴집니다. 그래도 만족합니다.",정다은,2024-03-02,13,true
206,5,기차여행 필수품,"KTX 타고 갈 때 이 헤드폰 없으면 잠을 못 자요. 어포디언스 사운드 모드도 좋습니다.",한지우,2024-03-02,32,true
207,5,바람 소리에 취약해요,"바람이 세게 부는 날 밖에서 걸으면 쉭쉭거리는 소리가 크게 들어옵니다. 윈드 디플렉터 개선이 필요합니다.",강태윤,2024-03-02,24,true
208,4,마이크 성능이 좋아졌습니다,"전작 QC35보다 마이크 품질이 확실히 업그레이드 되어서 카페에서 화상회의도 무리 없이 가능합니다.",임서현,2024-03-02,46,true
209,5,케이스 부피가 작아서 좋아요,"케이스가 소니보다 작고 납작해서 가방에 넣고 다니기에 부담이 없습니다.",윤민호,2024-03-03,27,true
210,3,수면 헤드폰으로 쓰기 딱,"자세를 좀 바꿔도 귀가 덜 눌려서 장시간 비행기나 버스에서 자면서 음악 듣기 제일 좋습니다.",오지후,2024-03-03,30,true
211,3,보스의 노캔은 진리입니다,"오랜만에 보스로 돌아왔는데, 편안하고 자연스러운 노이즈 캔슬링이 정말 마음에 듭니다.",김민지,2024-03-03,35,true
212,5,착용감은 이 모델이 최고,"안경을 쓰고 장시간 착용해도 귀나 머리가 전혀 아프지 않은 유일한 헤드폰입니다. 정말 푹신해요. (11번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",이도현,2024-03-03,0,true
213,3,디자인이 조금 올드해요,"클래식하긴 하지만 10년 전 디자인이랑 크게 다르지 않아서 아쉽습니다. 음질은 무난합니다. (12번째 추가 테스트 리뷰입니다. 정말 추천해요!)",박서윤,2024-03-04,25,true
214,5,아날로그 버튼이 최고입니다,"터치 조작 헷갈리고 오작동 나서 싫었는데, 물리 버튼으로 바로바로 조작하니까 직관적이고 편해요. (13번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",최현우,2024-03-04,37,true
215,3,베이스가 약간 부족한 느낌,"음질이 선명하긴 한데 힙합 들을 때는 저음이 조금 아쉽게 느껴집니다. 그래도 만족합니다. (14번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",정다은,2024-03-04,41,true
216,3,기차여행 필수품,"KTX 타고 갈 때 이 헤드폰 없으면 잠을 못 자요. 어포디언스 사운드 모드도 좋습니다. (15번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",한지우,2024-03-04,30,true
217,4,바람 소리에 취약해요,"바람이 세게 부는 날 밖에서 걸으면 쉭쉭거리는 소리가 크게 들어옵니다. 윈드 디플렉터 개선이 필요합니다. (16번째 추가 테스트 리뷰입니다. 정말 추천해요!)",강태윤,2024-03-05,24,true
218,4,마이크 성능이 좋아졌습니다,"전작 QC35보다 마이크 품질이 확실히 업그레이드 되어서 카페에서 화상회의도 무리 없이 가능합니다. (17번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",임서현,2024-03-05,26,true
219,5,케이스 부피가 작아서 좋아요,"케이스가 소니보다 작고 납작해서 가방에 넣고 다니기에 부담이 없습니다. (18번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",윤민호,2024-03-05,39,true
220,3,수면 헤드폰으로 쓰기 딱,"자세를 좀 바꿔도 귀가 덜 눌려서 장시간 비행기나 버스에서 자면서 음악 듣기 제일 좋습니다. (19번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",오지후,2024-03-05,23,true
221,3,보스의 노캔은 진리입니다,"오랜만에 보스로 돌아왔는데, 편안하고 자연스러운 노이즈 캔슬링이 정말 마음에 듭니다. (20번째 추가 테스트 리뷰입니다. 정말 추천해요!)",김민지,2024-03-06,8,true
222,5,착용감은 이 모델이 최고,"안경을 쓰고 장시간 착용해도 귀나 머리가 전혀 아프지 않은 유일한 헤드폰입니다. 정말 푹신해요. (21번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",이도현,2024-03-06,33,true
223,5,디자인이 조금 올드해요,"클래식하긴 하지만 10년 전 디자인이랑 크게 다르지 않아서 아쉽습니다. 음질은 무난합니다. (22번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",박서윤,2024-03-06,49,true
224,5,아날로그 버튼이 최고입니다,"터치 조작 헷갈리고 오작동 나서 싫었는데, 물리 버튼으로 바로바로 조작하니까 직관적이고 편해요. (23번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",최현우,2024-03-06,16,true
225,3,베이스가 약간 부족한 느낌,"음질이 선명하긴 한데 힙합 들을 때는 저음이 조금 아쉽게 느껴집니다. 그래도 만족합니다. (24번째 추가 테스트 리뷰입니다. 정말 추천해요!)",정다은,2024-03-07,37,true
226,3,기차여행 필수품,"KTX 타고 갈 때 이 헤드폰 없으면 잠을 못 자요. 어포디언스 사운드 모드도 좋습니다. (25번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",한지우,2024-03-07,30,true
227,3,바람 소리에 취약해요,"바람이 세게 부는 날 밖에서 걸으면 쉭쉭거리는 소리가 크게 들어옵니다. 윈드 디플렉터 개선이 필요합니다. (26번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",강태윤,2024-03-07,46,true
228,4,마이크 성능이 좋아졌습니다,"전작 QC35보다 마이크 품질이 확실히 업그레이드 되어서 카페에서 화상회의도 무리 없이 가능합니다. (27번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",임서현,2024-03-07,40,true
229,4,케이스 부피가 작아서 좋아요,"케이스가 소니보다 작고 납작해서 가방에 넣고 다니기에 부담이 없습니다. (28번째 추가 테스트 리뷰입니다. 정말 추천해요!)",윤민호,2024-03-08,31,true
230,4,수면 헤드폰으로 쓰기 딱,"자세를 좀 바꿔도 귀가 덜 눌려서 장시간 비행기나 버스에서 자면서 음악 듣기 제일 좋습니다. (29번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",오지후,2024-03-08,49,true
231,3,보스의 노캔은 진리입니다,"오랜만에 보스로 돌아왔는데, 편안하고 자연스러운 노이즈 캔슬링이 정말 마음에 듭니다. (30번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",김민지,2024-03-08,46,true
232,3,착용감은 이 모델이 최고,"안경을 쓰고 장시간 착용해도 귀나 머리가 전혀 아프지 않은 유일한 헤드폰입니다. 정말 푹신해요. (31번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",이도현,2024-03-08,31,true
233,3,디자인이 조금 올드해요,"클래식하긴 하지만 10년 전 디자인이랑 크게 다르지 않아서 아쉽습니다. 음질은 무난합니다. (32번째 추가 테스트 리뷰입니다. 정말 추천해요!)",박서윤,2024-03-09,23,true
234,3,아날로그 버튼이 최고입니다,"터치 조작 헷갈리고 오작동 나서 싫었는데, 물리 버튼으로 바로바로 조작하니까 직관적이고 편해요. (33번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",최현우,2024-03-09,23,true
235,5,베이스가 약간 부족한 느낌,"음질이 선명하긴 한데 힙합 들을 때는 저음이 조금 아쉽게 느껴집니다. 그래도 만족합니다. (34번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",정다은,2024-03-09,47,true
236,4,기차여행 필수품,"KTX 타고 갈 때 이 헤드폰 없으면 잠을 못 자요. 어포디언스 사운드 모드도 좋습니다. (35번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",한지우,2024-03-09,48,true
237,3,바람 소리에 취약해요,"바람이 세게 부는 날 밖에서 걸으면 쉭쉭거리는 소리가 크게 들어옵니다. 윈드 디플렉터 개선이 필요합니다. (36번째 추가 테스트 리뷰입니다. 정말 추천해요!)",강태윤,2024-03-10,3,true
238,5,마이크 성능이 좋아졌습니다,"전작 QC35보다 마이크 품질이 확실히 업그레이드 되어서 카페에서 화상회의도 무리 없이 가능합니다. (37번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",임서현,2024-03-10,13,true
239,4,케이스 부피가 작아서 좋아요,"케이스가 소니보다 작고 납작해서 가방에 넣고 다니기에 부담이 없습니다. (38번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",윤민호,2024-03-10,21,true
240,3,수면 헤드폰으로 쓰기 딱,"자세를 좀 바꿔도 귀가 덜 눌려서 장시간 비행기나 버스에서 자면서 음악 듣기 제일 좋습니다. (39번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",오지후,2024-03-10,34,true
241,4,보스의 노캔은 진리입니다,"오랜만에 보스로 돌아왔는데, 편안하고 자연스러운 노이즈 캔슬링이 정말 마음에 듭니다. (40번째 추가 테스트 리뷰입니다. 정말 추천해요!)",김민지,2024-03-11,28,true
242,3,착용감은 이 모델이 최고,"안경을 쓰고 장시간 착용해도 귀나 머리가 전혀 아프지 않은 유일한 헤드폰입니다. 정말 푹신해요. (41번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",이도현,2024-03-11,35,true
243,4,디자인이 조금 올드해요,"클래식하긴 하지만 10년 전 디자인이랑 크게 다르지 않아서 아쉽습니다. 음질은 무난합니다. (42번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",박서윤,2024-03-11,23,true
244,3,아날로그 버튼이 최고입니다,"터치 조작 헷갈리고 오작동 나서 싫었는데, 물리 버튼으로 바로바로 조작하니까 직관적이고 편해요. (43번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",최현우,2024-03-11,48,true
245,5,베이스가 약간 부족한 느낌,"음질이 선명하긴 한데 힙합 들을 때는 저음이 조금 아쉽게 느껴집니다. 그래도 만족합니다. (44번째 추가 테스트 리뷰입니다. 정말 추천해요!)",정다은,2024-03-12,32,true
246,5,기차여행 필수품,"KTX 타고 갈 때 이 헤드폰 없으면 잠을 못 자요. 어포디언스 사운드 모드도 좋습니다. (45번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",한지우,2024-03-12,44,true
247,5,바람 소리에 취약해요,"바람이 세게 부는 날 밖에서 걸으면 쉭쉭거리는 소리가 크게 들어옵니다. 윈드 디플렉터 개선이 필요합니다. (46번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",강태윤,2024-03-12,47,true
248,4,마이크 성능이 좋아졌습니다,"전작 QC35보다 마이크 품질이 확실히 업그레이드 되어서 카페에서 화상회의도 무리 없이 가능합니다. (47번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",임서현,2024-03-12,31,true
249,3,케이스 부피가 작아서 좋아요,"케이스가 소니보다 작고 납작해서 가방에 넣고 다니기에 부담이 없습니다. (48번째 추가 테스트 리뷰입니다. 정말 추천해요!)",윤민호,2024-03-13,20,true
250,3,수면 헤드폰으로 쓰기 딱,"자세를 좀 바꿔도 귀가 덜 눌려서 장시간 비행기나 버스에서 자면서 음악 듣기 제일 좋습니다. (49번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",오지후,2024-03-13,1,true
251,3,보스의 노캔은 진리입니다,"오랜만에 보스로 돌아왔는데, 편안하고 자연스러운 노이즈 캔슬링이 정말 마음에 듭니다. (50번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",김민지,2024-03-13,18,true
252,5,착용감은 이 모델이 최고,"안경을 쓰고 장시간 착용해도 귀나 머리가 전혀 아프지 않은 유일한 헤드폰입니다. 정말 푹신해요. (51번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",이도현,2024-03-13,17,true
253,4,디자인이 조금 올드해요,"클래식하긴 하지만 10년 전 디자인이랑 크게 다르지 않아서 아쉽습니다. 음질은 무난합니다. (52번째 추가 테스트 리뷰입니다. 정말 추천해요!)",박서윤,2024-03-14,21,true
254,5,아날로그 버튼이 최고입니다,"터치 조작 헷갈리고 오작동 나서 싫었는데, 물리 버튼으로 바로바로 조작하니까 직관적이고 편해요. (53번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",최현우,2024-03-14,35,true
255,4,베이스가 약간 부족한 느낌,"음질이 선명하긴 한데 힙합 들을 때는 저음이 조금 아쉽게 느껴집니다. 그래도 만족합니다. (54번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",정다은,2024-03-14,27,true
256,5,기차여행 필수품,"KTX 타고 갈 때 이 헤드폰 없으면 잠을 못 자요. 어포디언스 사운드 모드도 좋습니다. (55번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",한지우,2024-03-14,19,true
257,5,바람 소리에 취약해요,"바람이 세게 부는 날 밖에서 걸으면 쉭쉭거리는 소리가 크게 들어옵니다. 윈드 디플렉터 개선이 필요합니다. (56번째 추가 테스트 리뷰입니다. 정말 추천해요!)",강태윤,2024-03-15,43,true
258,4,마이크 성능이 좋아졌습니다,"전작 QC35보다 마이크 품질이 확실히 업그레이드 되어서 카페에서 화상회의도 무리 없이 가능합니다. (57번째 추가 테스트 리뷰입니다. 사용해보니 좋네요.)",임서현,2024-03-15,17,true
259,4,케이스 부피가 작아서 좋아요,"케이스가 소니보다 작고 납작해서 가방에 넣고 다니기에 부담이 없습니다. (58번째 추가 테스트 리뷰입니다. 역시 최고입니다.)",윤민호,2024-03-15,32,true
260,4,수면 헤드폰으로 쓰기 딱,"자세를 좀 바꿔도 귀가 덜 눌려서 장시간 비행기나 버스에서 자면서 음악 듣기 제일 좋습니다. (59번째 추가 테스트 리뷰입니다. 만족스러운 구매였어요.)",오지후,2024-03-15,17,true
